block_lot,postcode,lat,long
23701_6,07305,40.704260625,-74.07674375
14602_35,07306,40.72968587878788,-74.08120212121213
14602_51,07306,40.73043968965518,-74.08146034482759
2602_20,07307,40.74895022727273,-74.05552522727272
2203_12,07307,40.74995842857143,-74.045694
1402_34,07307,40.75230221428571,-74.04906064285714
2306_49,07307,40.746654392857145,-74.04375964285714
1705_6,07307,40.74992244642857,-74.04167507142857
14204_10,07302,40.71347436734694,-74.0403968367347
701_17,07307,40.7564043,-74.0504416
8206_21,07306,40.73178790909091,-74.05541454545454
3503_25,07307,40.74501205263158,-74.05676542105263
2104_13,07307,40.75066675163399,-74.05128824183006
2204_16,07307,40.749816,-74.04471500000001
26905_17,07305,40.70212085714285,-74.09601246938776
1301_14,07307,40.753649,-74.05316212820513
10802_32,07306,40.7281808,-74.06158426240071
10802_31,07306,40.72814715,-74.06149891250374
3404_40,07307,40.74746985714285,-74.05503809523809
2104_12,07307,40.75067311111111,-74.05130444444444
13402_23,07306,40.72845733898305,-74.06517769491525
11108_43,07302,40.72325145,-74.04729855
12308_26,07306,40.7265801,-74.0632950503605
4603_9,NA,NA,NA
5802_43,07306,40.73755182608696,-74.05027513043478
804_11,07307,40.75326980769231,-74.04609423076923
804_12,07307,40.75520654545455,-74.0508908
804_10,07307,40.75330046153846,-74.04617684615384
704_21,07307,40.75423381818182,-74.0484808
1203_50,07307,40.754364783783785,-74.05292886486487
2604_17,07307,40.74961876923077,-74.0526033846154
2104_50,07307,40.74983858695652,-74.0506764347826
24703_59,07305,40.70729452941177,-74.09352644705882
8204_1,07306,40.7327444,-74.0550802
4402_21,07307,40.741806781250006,-74.04980009375001
702_39,07307,40.75500576271186,-74.04789923728814
12203_20,07306,40.72817871428572,-74.065219
12203_21,07306,40.728271142857146,-74.065108
4603_8,07306,40.743494673469385,-74.059783081632645
2304_9,07307,40.74854223809524,-74.04233161904762
5403_12,07306,40.74085430612244,-74.06133236734694
2501_18,07307,40.75005342857143,-74.05824157142857
6802_16,07306,40.73743845402217,-74.05943911247256
11902_18,07306,40.7326701875,-74.0765150625
603_12,07307,40.75700842857143,-74.05200757142858
6802_16,07306,40.73743845402217,-74.05943911247256
19301_28,07304,40.71854339809511,-74.07920275012549
21701_14,07305,40.71551135294118,-74.09200523529412
504_32,07307,40.7545753125,-74.04476199999999
15004_41,07306,40.724364666666666,-74.06814250000001
5805_8,07307,40.7385676923077,-74.05085207692308
5705_14,07306,40.7374365,-74.05411000000001
28403_8,07305,40.69872515686274,-74.09955437254902
2502_50,07307,40.750575,-74.05772642857143
2502_47,07307,40.750767,-74.05759164285715
3902_11,07307,40.743518894736845,-74.04551015789474
20902_31,07304,40.71578875,-74.086445
10601_31,07306,40.73332916666666,-74.06648666666666
1507_30,07307,40.7501615,-74.0475755
12003_44,07306,40.73116819230769,-74.0710665
7807_14,NA,NA,NA
2503_30,07307,40.75145048387097,-74.05606483870967
12701_12,NA,NA,NA
16802_9,07304,40.72094458064516,-74.06933922580644
26903_7,07305,40.701772000000005,-74.09367950000001
704_44,07307,40.7543674,-74.0503436
9804_20,NA,NA,NA
10901_56,07306,40.728002,-74.05883
2205_9,07307,40.7474512408288,-74.04600788396417
2402_12,07087,40.748274,-74.041441
1507_35,07307,40.750316777777776,-74.04796466666667
3804_35,07307,40.74441165,-74.04687670997292
4702_20,07087,40.74201835714285,-74.0552787857143
3805_19,07307,40.74311357894737,-74.04601363157894
12406_12,07306,40.72400565,-74.06261723096394
6501_1,07306,40.73706841901963,-74.06292126735293
10501_19,07306,40.73282785714286,-74.07137614285715
2805_28,07307,40.74935139130435,-74.04793513043478
4203_12,07307,40.74490838888889,-74.05906294444445
4604_11,07306,40.74281285714286,-74.0601324489796
10802_9,07306,40.72880565,-74.06193675
3001_11,07087,40.7451616,-74.04381197087156
7902_43,07306,40.73434425,-74.060389
7902_44,07306,40.7343526875,-74.06045983333334
4405_6,07307,40.7434298,-74.0497348
9806_3,NA,NA,NA
3903_25,07087,40.742897,-74.04487333333334
6807_27,07306,40.7351365,-74.05481725
10302_78,07306,40.73422110204082,-74.07412997959185
3304_11,07307,40.747038,-74.059826
2005_3,07307,40.752387142857145,-74.05372542857143
5802_12,07307,40.737979714285714,-74.04980846428572
24103_7,07305,40.70287861538462,-74.079982
11106_6,NA,NA,NA
802_42,07307,40.754181,-74.04581607407408
3303_27,07307,40.74760191666667,-74.05981112500001
11804_14,07306,40.7326276122449,-74.07678169387755
3901_28,07307,40.741941,-74.0457395
3805_38,07307,40.744100315789474,-74.04609768421052
2204_21,07307,40.75000571428571,-74.04407642857143
5902_9,07306,40.7377225,-74.0527207
7902_61,07306,40.7344876875,-74.06159316666667
28502_22,07305,40.6966931,-74.0980883
1202_47,07307,40.75450333333333,-74.05390816666667
27001_17,NA,NA,NA
11110_12,07302,40.72244,-74.04802375
20201_90,08016,40.08093129670725,-74.8378687033556
1508_28,07307,40.74943554347826,-74.04814984782608
10704_8,07087,40.7160314,-74.0671738
11903_3,07306,40.732726,-74.074284
21403_19,07305,40.70977304685376,-74.07278318402874
14105_3,07304,40.716419,-74.046708
11209_7,NA,NA,NA
7902_60,07306,40.73447925,-74.06152233333333
7902_59,07306,40.7344708125,-74.0614515
21101_34,NA,NA,NA
1504_10,07307,40.752149,-74.04730385185185
7402_23,07306,40.74359204483971,-74.07017641062872
6701_23,07306,40.736145073732224,-74.05903973099782
18703_1,07304,40.71592411111112,-74.06927922222222
805_1,07307,40.75398127272727,-74.04787854545454
3601_3,07307,40.74742251428571,-74.05539445714285
1506_15,07307,40.75114525,-74.0466177
4902_26,NA,NA,NA
20304_28,07304,40.710181909090906,-74.06120509090908
1604_38,07307,40.75017642857143,-74.04347457142858
28102_17,07305,40.698584764705885,-74.09328017647059
1402_4,07307,40.753208086956526,-74.04994186956522
10802_14,07306,40.7287226,-74.0613426
10802_11,07306,40.72874155,-74.0618049369852
20803_71,07304,40.7167018,-74.08979125
3403_42,07307,40.748287227272726,-74.05508718181818
3302_23,NA,NA,NA
2503_8,07307,40.75073093103448,-74.05737120689655
10802_15,07306,40.72850545,-74.0614377
12007_24,07306,40.7299633,-74.07234625000001
4505_34,07307,40.740886125,-74.04745799999999
11002_11,07302,40.72405590909091,-74.05085527272728
16203_1,07306,40.7255498,-74.07835700000001
6001_36,07307,40.73782838952483,-74.04437759900246
3802_7,07307,40.7447832,-74.04799026666666
2603_39,07307,40.74982715384616,-74.05266107692307
19003_8,07304,40.71235130769231,-74.05732046153847
24101_11,07305,40.70385111111111,-74.07856
2104_5,07307,40.75071762745098,-74.0514178627451
6601_36,07087,40.73803920106513,-74.05867104182566
20601_76,07304,40.71812233333333,-74.0837655
2904_38,07307,40.74554633562566,-74.04623670985137
10502_33,07306,40.73310741379311,-74.07096475862069
802_34,07307,40.753902,-74.04510740740741
4602_32,07306,40.74372081632653,-74.05989379591837
11002_11,07302,40.72405590909091,-74.05085527272728
22702_10,07305,40.70871557692308,-74.07468419230769
28904_13,07305,40.69264952941177,-74.08775429411764
13606_3,07304,40.72030622904018,-74.06214333345
4505_23,07307,40.74139625,-74.047128
10301_19,07306,40.73520475,-74.07541225
12308_11,07306,40.7299403,-74.066743399999993
4402_22,07307,40.741774250000006,-74.04972375000001
2802_42,07307,40.74727338461538,-74.05038465384615
25901_14,07305,40.69932192307692,-74.08270161538462
3305_4,07307,40.74711684615384,-74.06083161538461
6602_19,07306,40.737451200938665,-74.05955568252743
10502_37,07306,40.733769714285714,-74.06897314285715
703_17,07307,40.755058000000005,-74.048491
601_22,07307,40.756088,-74.053922
1508_30,07307,40.74948363043478,-74.04827254347826
7902_46,07306,40.7343695625,-74.0606015
25701_13,07305,40.70183242105263,-74.0858737894737
25001_67,NA,NA,NA
26904_10,07305,40.701181857142856,-74.09426942857144
14105_4,07304,40.71641066666667,-74.04663166666667
14601_5,07306,40.730190666666665,-74.08189484848485
25304_27,NA,NA,NA
11903_26,07306,40.73252529411765,-74.075553
4306_23,07307,40.74270675963725,-74.05705218489442
20103_2,07304,40.7106676,-74.0649768
804_22,07307,40.752932615384616,-74.04518546153847
